en,de,kind,category,confidence,source,verified_at,note,loc_key,en_id
Sealed Forest,Versiegelter Wald,biome,,localization,resources.assets,2026-09-22,,Biome_SealedBiome_Name,sealed_forest
Sealed Hamlet,Versiegelter Weiler,biome,,localization,resources.assets,2026-09-22,,Biome_Town_Sealed_Name,sealed_hamlet
Woodland Town,Waldstadt,biome,,localization,resources.assets,2026-09-22,,Biome_Town_RoyalWoodlands_Name,woodland_town
Academy,Akademie,building,,localization,resources.assets,2026-09-22,,Building_Academy_Name,academy
Advanced Rain Collector,Verbesserter Regenkollektor,building,,localization,resources.assets,2026-09-22,,Building_RainCollectorBig_Name,advanced_rain_collector
Alchemist's Hut,Alchemistenhütte,building,,localization,resources.assets,2026-09-22,,Building_AlchemistHut_Name,alchemists_hut
Ancient Arch,Uraltes Gewölbe,building,,localization,resources.assets,2026-09-22,,Building_DecorationArch_Name,ancient_arch
Ancient Hearth,Uralte Feuerstelle,building,,localization,resources.assets,2026-09-22,,Building_SmallHearth_Name,ancient_hearth
Ancient Seal,Uraltes Siegel,building,,localization,resources.assets,2026-09-22,,Building_Seal_Name,ancient_seal
Ancient Tombstone,Uralter Grabstein,building,,localization,resources.assets,2026-09-22,,Building_DecorationAncientTablet_Name,ancient_tombstone
Anvil,Amboss,building,,localization,resources.assets,2026-09-22,,Building_DecorationAnvil_Name,anvil
Apothecary,Apotheker,building,,localization,resources.assets,2026-09-22,,Building_Apothecary_Name,apothecary
Archaeologist's Office,Archäologenbüro,building,,localization,resources.assets,2026-09-22,,Building_InstituteOfArcheology_Name,archaeologists_office
Artisan,Handwerker,building,,localization,resources.assets,2026-09-22,,Building_Artisan_Name,artisan
Bakery,Bäckerei,building,,localization,resources.assets,2026-09-22,,Building_Bakery_Name,bakery
Barrels,Fässer,building,,localization,resources.assets,2026-09-22,,Building_DecorationBarrels_Name,barrels
Basalt Tree Sapling,Basaltbaum-Schössling,building,,localization,resources.assets,2026-09-22,,Building_DecorationCave_Name,basalt_tree_sapling
Bat House,Fledermaushaus,building,,localization,resources.assets,2026-09-22,,Building_BatHouse_Name,bat_house
Bath House,Badehaus,building,,localization,resources.assets,2026-09-22,,Building_BathHouse_Name,bath_house
Beacon Tower,Leuchtturm,building,,localization,resources.assets,2026-09-22,,Building_SealedBiomeShrine_Name,beacon_tower
Beanery,Imbiss,building,,localization,resources.assets,2026-09-22,,Building_Beanery_Name,beanery
Beaver House,Biberhaus,building,,localization,resources.assets,2026-09-22,,Building_BeaverHouse_Name,beaver_house
Bench,Sitzbank,building,,localization,resources.assets,2026-09-22,,Building_DecorationBank_Name,bench
Big Hauler Station,Große Frachtführer-Station,building,,localization,resources.assets,2026-09-22,,Building_BigHaulersBase_Name,big_hauler_station
Big Shelter,Große Unterkunft,building,,localization,resources.assets,2026-09-22,,Building_BigShelter_Name,big_shelter
Black Market,Schwarzmarkt,building,,localization,resources.assets,2026-09-22,,Building_BiomeBlackMarket_Name,black_market
Blight Bomb,Pestbombe,building,,localization,resources.assets,2026-09-22,,Building_BlightBomb_Name,blight_bomb
Blight Post,Pestfäuleposten,building,,localization,resources.assets,2026-09-22,,Building_BlightPost_Name,blight_post
Bonfire,Lagerfeuer,building,,localization,resources.assets,2026-09-22,,Building_Decoration_Pot_Name,bonfire
Brewery,Brauerei,building,,localization,resources.assets,2026-09-22,,Building_Brewery_Name,brewery
Brick Oven,Ziegelofen,building,,localization,resources.assets,2026-09-22,,Building_Oven_Name,brick_oven
Brickyard,Ziegelei,building,,localization,resources.assets,2026-09-22,,Building_Brickyard_Name,brickyard
Brineworks,Salzwerk,building,,localization,resources.assets,2026-09-22,,Building_Brineworks_Name,brineworks
Bush,Busch,building,,localization,resources.assets,2026-09-22,,Building_DecorationBush_Name,bush
Butcher,Metzgerei,building,,localization,resources.assets,2026-09-22,,Building_Butcher_Name,butcher
Cages,Käfige,building,,localization,resources.assets,2026-09-22,,Building_DecorationCages_Name,cages
Cannery,Konservenfabrik,building,,localization,resources.assets,2026-09-22,,Building_Cannery_Name,cannery
Carpenter,Tischler,building,,localization,resources.assets,2026-09-22,,Building_Carpenter_Name,carpenter
Cellar,Weinkeller,building,,localization,resources.assets,2026-09-22,,Building_Cellar_Name,cellar
Chest,Truhe,building,,localization,resources.assets,2026-09-22,,Building_DecorationChest_Name,chest
Clan Hall,Clanhalle,building,,localization,resources.assets,2026-09-22,,Building_ClanHall_Name,clan_hall
Clay Pit,Lehmgrube,building,,localization,resources.assets,2026-09-22,,Building_ClayPit_Name,clay_pit
Clothier,Tuchmacher,building,,localization,resources.assets,2026-09-22,,Building_Sewer_Name,clothier
Cobbler,Schuster,building,,localization,resources.assets,2026-09-22,,Building_Cobbler_Name,cobbler
Cookhouse,Kochhaus,building,,localization,resources.assets,2026-09-22,,Building_Cookhouse_Name,cookhouse
Cooperage,Küferei,building,,localization,resources.assets,2026-09-22,,Building_Cooperage_Name,cooperage
Coral Growth,Korallenwucherung,building,,localization,resources.assets,2026-09-22,,Building_DecorationCoralGrowth_Name,coral_growth
Cornerstone Forge,Grundsteinschmiede,building,,localization,resources.assets,2026-09-22,,Building_BiomePerkCrafter_Name,cornerstone_forge
Crates,Kisten,building,,localization,resources.assets,2026-09-22,,Building_DecorationCrates_Name,crates
Crude Bakery,Primitive Bäckerei,building,,localization,resources.assets,2026-09-22,,Building_CrudeBakery_Name,crude_bakery
Crude Workstation,Primitive Werkbank,building,,localization,resources.assets,2026-09-22,,Building_CrudeWorkstation_Name,crude_workstation
Decorative Fungus,Dekorativer Pilz,building,,localization,resources.assets,2026-09-22,,Building_DecorationMushroom_Name,decorative_fungus
Distillery,Brennerei,building,,localization,resources.assets,2026-09-22,,Building_Distillery_Name,distillery
Druid's Hut,Druidenhütte,building,,localization,resources.assets,2026-09-22,,Building_Druid_Name,druids_hut
Evergreen Shrub,Immergrünstrauch,building,,localization,resources.assets,2026-09-22,,Building_Decoration_FrogTree_Name,evergreen_shrub
Explorers' Lodge,Erkunderhütte,building,,localization,resources.assets,2026-09-22,,Building_ExplorersLodge_Name,explorers_lodge
Farm Field,Acker,building,,localization,resources.assets,2026-09-22,,Building_Farmfield_Name,farm_field
Feast Hall,Festsaal,building,,localization,resources.assets,2026-09-22,,Building_FeastHall_Name,feast_hall
Fence,Zaun,building,,localization,resources.assets,2026-09-22,,Building_DecorationFence_Name,fence
Fence Corner,Eckzaun,building,,localization,resources.assets,2026-09-22,,Building_DecorationFenceCorner_Name,fence_corner
Fertile Field,Fruchtbarer Acker,building,,localization,resources.assets,2026-09-22,,Building_BiomeGrassSpawner_Name,fertile_field
Field Engineering Station,Technische Feldeinheit,building,,localization,resources.assets,2026-09-22,,Building_TemporaryEngineeringStation_Name,field_engineering_station
Field Kitchen,Feldküche,building,,localization,resources.assets,2026-09-22,,Building_FieldKitchen_Name,field_kitchen
Finesmith,Kunstschmied,building,,localization,resources.assets,2026-09-22,,Building_Finesmith_Name,finesmith
Fire Shrine,Feuerschrein,building,,localization,resources.assets,2026-09-22,,Building_DecorationFireShrine_Name,fire_shrine
Fish Mount,Wandfisch,building,,localization,resources.assets,2026-09-22,,Building_Decoration_Fish_Name,fish_mount
Fishing Hut,Fischerhütte,building,,localization,resources.assets,2026-09-22,,Building_FishingHut_Name,fishing_hut
Flame Altar,Flammenaltar,building,,localization,resources.assets,2026-09-22,,Building_CloakedWandererShrine_Name,flame_altar
Flawless Brewery,Makellose Brauerei,building,,localization,resources.assets,2026-09-22,,Building_FlawlessBrewery_Name,flawless_brewery
Flawless Cellar,Makelloser Weinkeller,building,,localization,resources.assets,2026-09-22,,Building_FlawlessCellar_Name,flawless_cellar
Flawless Cooperage,Makellose Küferei,building,,localization,resources.assets,2026-09-22,,Building_FlawlessCooperage_Name,flawless_cooperage
Flawless Druid's Hut,Makellose Druidenhütte,building,,localization,resources.assets,2026-09-22,,Building_FlawlessDruid_Name,flawless_druids_hut
Flawless Leatherworker,Makelloser Lederarbeiter,building,,localization,resources.assets,2026-09-22,,Building_FlawlessLeatherworks_Name,flawless_leatherworker
Flawless Rain Mill,Makellose Regenmühle,building,,localization,resources.assets,2026-09-22,,Building_FlawlessRainMill_Name,flawless_rain_mill
Flawless Smelter,Makellose Schmelzerei,building,,localization,resources.assets,2026-09-22,,Building_FlawlessSmelter_Name,flawless_smelter
Flower Bed,Blumenbeet,building,,localization,resources.assets,2026-09-22,,Building_DecorationFlowerBed_Name,flower_bed
Foragers' Camp,Nahrungssammlerlager,building,,localization,resources.assets,2026-09-22,,Building_ForagersCamp_Name,foragers_camp
Forester's Hut,Waldarbeiterhütte,building,,localization,resources.assets,2026-09-22,,Building_Grove_Name,foresters_hut
Forsaken Altar,Altar der Verlassenen,building,,localization,resources.assets,2026-09-22,,Building_Altar_Name,forsaken_altar
Forum,Forum,building,,localization,resources.assets,2026-09-22,,Building_Forum_Name,forum
Fox House,Fuchshaus,building,,localization,resources.assets,2026-09-22,,Building_FoxHouse_Name,fox_house
Frog House,Froschhaus,building,,localization,resources.assets,2026-09-22,,Building_FrogHouse_Name,frog_house
Furnace,Ofen,building,,localization,resources.assets,2026-09-22,,Building_Furnace_Name,furnace
Garden,Garten,building,,localization,resources.assets,2026-09-22,,Building_Decoration_Garden_Name,garden
Gate,Tor,building,,localization,resources.assets,2026-09-22,,Building_Decoration_Gate_Name,gate
Geyser Pump,Geysirpumpe,building,,localization,resources.assets,2026-09-22,,Building_WaterExtractor_Name,geyser_pump
Giant Fluffbeak,Riesen-Fluffschnabel,building,,localization,resources.assets,2026-09-22,,Building_BiomePoro_Name,giant_fluffbeak
Golden Leaf Plant,Goldblattpflanze,building,,localization,resources.assets,2026-09-22,,Building_DecorationGoldenLeaf_Name,golden_leaf_plant
Granary,Getreidespeicher,building,,localization,resources.assets,2026-09-22,,Building_Granary_Name,granary
Greenhouse,Gewächshaus,building,,localization,resources.assets,2026-09-22,,Building_Greenhouse_Name,greenhouse
Grill,Grill,building,,localization,resources.assets,2026-09-22,,Building_Grill_Name,grill
Guidance Stone,Leitstein,building,,localization,resources.assets,2026-09-22,,Building_Guidestone_Name,guidance_stone
Guild House,Gildenhaus,building,,localization,resources.assets,2026-09-22,,Building_GuildHouse_Name,guild_house
Hallowed Herb Garden,Heiliger Kräutergarten,building,,localization,resources.assets,2026-09-22,,Building_HallowedHerbGarden_Name,hallowed_herb_garden
Hallowed Small Farm,Heilige Kleinfarm,building,,localization,resources.assets,2026-09-22,,Building_HallowedSmallFarm_Name,hallowed_small_farm
Harpy House,Harpyienhaus,building,,localization,resources.assets,2026-09-22,,Building_HarpyHouse_Name,harpy_house
Harvesters' Camp,Erntelager,building,,localization,resources.assets,2026-09-22,,Building_HarvesterCamp_Name,harvesters_camp
Haunted Bat House,Gespenstisches Fledermaushaus,building,,localization,resources.assets,2026-09-22,,Building_HauntedBatHouse_Name,haunted_bat_house
Haunted Beaver House,Gespenstisches Biberhaus,building,,localization,resources.assets,2026-09-22,,Building_HauntedBeaverHouse_Name,haunted_beaver_house
Haunted Brewery,Gespenstische Brauerei,building,,localization,resources.assets,2026-09-22,,Building_HauntedBrewery_Name,haunted_brewery
Haunted Cellar,Gespenstischer Weinkeller,building,,localization,resources.assets,2026-09-22,,Building_HauntedCellar_Name,haunted_cellar
Haunted Cooperage,Gespenstische Küferei,building,,localization,resources.assets,2026-09-22,,Building_HauntedCooperage_Name,haunted_cooperage
Haunted Druid's Hut,Gespenstische Druidenhütte,building,,localization,resources.assets,2026-09-22,,Building_HauntedDruid_Name,haunted_druids_hut
Haunted Fox House,Gespenstisches Fuchshaus,building,,localization,resources.assets,2026-09-22,,Building_HauntedFoxHouse_Name,haunted_fox_house
Haunted Frog House,Gespenstisches Froschhaus,building,,localization,resources.assets,2026-09-22,,Building_HauntedFrogHouse_Name,haunted_frog_house
Haunted Guild House,Gespenstisches Gildenhaus,building,,localization,resources.assets,2026-09-22,,Building_HauntedGuildHouse_Name,haunted_guild_house
Haunted Harpy House,Gespenstisches Harpyienhaus,building,,localization,resources.assets,2026-09-22,,Building_HauntedHarpyHouse_Name,haunted_harpy_house
Haunted Herb Garden,Gespenstischer Kräutergarten,building,,localization,resources.assets,2026-09-22,,Building_HauntedHerbGarden_Name,haunted_herb_garden
Haunted Human House,Gespenstisches Menschenhaus,building,,localization,resources.assets,2026-09-22,,Building_HauntedHumanHouse_Name,haunted_human_house
Haunted Leatherworker,Gespenstischer Lederarbeiter,building,,localization,resources.assets,2026-09-22,,Building_HauntedLeatherworks_Name,haunted_leatherworker
Haunted Lizard House,Gespenstisches Echsenhaus,building,,localization,resources.assets,2026-09-22,,Building_HauntedLizardHouse_Name,haunted_lizard_house
Haunted Market,Gespenstischer Markt,building,,localization,resources.assets,2026-09-22,,Building_HauntedMarket_Name,haunted_market
Haunted Rain Mill,Gespenstische Regenmühle,building,,localization,resources.assets,2026-09-22,,Building_HauntedRainMill_Name,haunted_rain_mill
Haunted Small Farm,Gespenstische Kleinfarm,building,,localization,resources.assets,2026-09-22,,Building_HauntedSmallFarm_Name,haunted_small_farm
Haunted Smelter,Gespenstische Schmelzerei,building,,localization,resources.assets,2026-09-22,,Building_HauntedSmelter_Name,haunted_smelter
Haunted Temple,Gespenstischer Tempel,building,,localization,resources.assets,2026-09-22,,Building_HauntedTemple_Name,haunted_temple
Hearth,Feuerstelle,building,,localization,resources.assets,2026-09-22,,GameUI_BuildingPanel_Tabs_Main_Hearth,hearth
Herb Garden,Kräutergarten,building,,localization,resources.assets,2026-09-22,,Building_HerbGarden_Name,herb_garden
Herbalists' Camp,Kräutersammlerlager,building,,localization,resources.assets,2026-09-22,,Building_HerbalistCamp_Name,herbalists_camp
Holy Guild House,Heiliges Gildenhaus,building,,localization,resources.assets,2026-09-22,,Building_HolyGuildHouse_Name,holy_guild_house
Holy Market,Heiliger Markt,building,,localization,resources.assets,2026-09-22,,Building_HolyMarket_Name,holy_market
Holy Temple,Heiliger Tempel,building,,localization,resources.assets,2026-09-22,,Building_HolyTemple_Name,holy_temple
Homestead,Gehöft,building,,localization,resources.assets,2026-09-22,,Building_Homestead_Name,homestead
Human House,Menschenhaus,building,,localization,resources.assets,2026-09-22,,Building_HumanHouse_Name,human_house
Hydrant,Hydrant,building,,localization,resources.assets,2026-09-22,,Building_Hydrant_Name,hydrant
Industrial Chimney,Industrieller Schlot,building,,localization,resources.assets,2026-09-22,,Building_DecorationWasteland_Name,industrial_chimney
Inscribed Monolith,Gravierter Monolith,building,,localization,resources.assets,2026-09-22,,Building_LoreTablet_Generic_Name,inscribed_monolith
Kiln,Brennofen,building,,localization,resources.assets,2026-09-22,,Building_Kiln_Name,kiln
Lamp,Lampe,building,,localization,resources.assets,2026-09-22,,Building_DecorationLamp_Name,lamp
Leatherworker,Lederarbeiter,building,,localization,resources.assets,2026-09-22,,Building_Leatherworks_Name,leatherworker
Library,Bibliothek,building,,localization,resources.assets,2026-09-22,,Building_Library_Name,library
Lizard House,Echsenhaus,building,,localization,resources.assets,2026-09-22,,Building_LizardHouse_Name,lizard_house
Lizard Post,Echsen-Fahnenstange,building,,localization,resources.assets,2026-09-22,,Building_DecorationLizardPost_Name,lizard_post
Lumber Mill,Sägewerk,building,,localization,resources.assets,2026-09-22,,Building_Lumbermill_Name,lumber_mill
Main Warehouse,Hauptlager,building,,localization,resources.assets,2026-09-22,,Building_MainStorage_Name,main_warehouse
Makeshift Extractor,Behelfsmäßiger Extrahierer,building,,localization,resources.assets,2026-09-22,,Building_Decoration_GroundwaterExtractor_Name,makeshift_extractor
Makeshift Post,Behelfsmäßiger Außenposten,building,,localization,resources.assets,2026-09-22,,Building_MakeshiftPost_Name,makeshift_post
Manorial Court,Gutsgericht,building,,localization,resources.assets,2026-09-22,,Building_BatsShrine_Name,manorial_court
Manufactory,Manufaktur,building,,localization,resources.assets,2026-09-22,,Building_Manufactory_Name,manufactory
Marble Fountain,Marmorbrunnen,building,,localization,resources.assets,2026-09-22,,Building_Decoration_Fountain_Name,marble_fountain
Market,Markt,building,,localization,resources.assets,2026-09-22,,Building_Market_Name,market
Mausoleum,Mausoleum,building,,localization,resources.assets,2026-09-22,,Building_DecorationTomb_Name,mausoleum
Mine,Mine,building,,localization,resources.assets,2026-09-22,,Building_Mine_Name,mine
Monastery,Kloster,building,,localization,resources.assets,2026-09-22,,Building_Monastery_Name,monastery
Monument of Greed,Monument der Gier,building,,localization,resources.assets,2026-09-22,,Building_Decoration_FrogStatue_Name,monument_of_greed
Nightfern,Nachtfarn,building,,localization,resources.assets,2026-09-22,,Building_Decoration_Flower_Name,nightfern
Ornamental Fence,Zierzaun,building,,localization,resources.assets,2026-09-22,,Building_DecorationBatFence_Name,ornamental_fence
Ornamental Fence Corner,Zierzauneck,building,,localization,resources.assets,2026-09-22,,Building_DecorationBatFenceCorner_Name,ornamental_fence_corner
Ornate Column,Schmucksäule,building,,localization,resources.assets,2026-09-22,,Building_Decoration_FrogColumn_Name,ornate_column
Overgrown Fence,Überwucherter Zaun,building,,localization,resources.assets,2026-09-22,,Building_DecorationFoxFence_Name,overgrown_fence
Overgrown Fence Corner,Überwucherte Zaunecke,building,,localization,resources.assets,2026-09-22,,Building_DecorationFoxFenceCorner_Name,overgrown_fence_corner
Overgrown Well,Überwucherter Brunnen,building,,localization,resources.assets,2026-09-22,,Building_Decoration_Well_Name,overgrown_well
Pantry,Vorratskammer,building,,localization,resources.assets,2026-09-22,,Building_Pantry_Name,pantry
Park,Park,building,,localization,resources.assets,2026-09-22,,Building_Decoration_Park_Name,park
Path,Weg,building,,localization,resources.assets,2026-09-22,,Building_Path_Name,path
Paved Road,Gepflasterte Straße,building,,localization,resources.assets,2026-09-22,,Building_StoneRoad_Name,paved_road
Pipe,Rohr,building,,localization,resources.assets,2026-09-22,,Building_DecorationPipe_Name,pipe
Pipe Cross,Rohrkreuzung,building,,localization,resources.assets,2026-09-22,,Building_DecorationPipeCrossing_Name,pipe_cross
Pipe Elbow,Rohrbogen,building,,localization,resources.assets,2026-09-22,,Building_DecorationPipeCorner_Name,pipe_elbow
Pipe Ending,Rohrendstück,building,,localization,resources.assets,2026-09-22,,Building_DecorationPipeEnding_Name,pipe_ending
Pipe T-Connector,Rohr-T-Stück,building,,localization,resources.assets,2026-09-22,,Building_DecorationPipeT_Name,pipe_t_connector
Plantation,Plantage,building,,localization,resources.assets,2026-09-22,,Building_Plantation_Name,plantation
Press,Presse,building,,localization,resources.assets,2026-09-22,,Building_Press_Name,press
Provisioner,Gemischtwarenladen,building,,localization,resources.assets,2026-09-22,,Building_Provisioner_Name,provisioner
Purified Bat House,Gereinigtes Fledermaushaus,building,,localization,resources.assets,2026-09-22,,Building_PurifiedBatHouse_Name,purified_bat_house
Purified Beaver House,Gereinigtes Biberhaus,building,,localization,resources.assets,2026-09-22,,Building_PurgedBeaverHouse_Name,purified_beaver_house
Purified Fox House,Gereinigtes Fuchshaus,building,,localization,resources.assets,2026-09-22,,Building_PurifiedFoxHouse_Name,purified_fox_house
Purified Frog House,Gereinigtes Froschhaus,building,,localization,resources.assets,2026-09-22,,Building_PurgedFrogHouse_Name,purified_frog_house
Purified Harpy House,Gereinigtes Harpyienhaus,building,,localization,resources.assets,2026-09-22,,Building_PurifiedHarpyHouse_Name,purified_harpy_house
Purified Human House,Gereinigtes Menschenhaus,building,,localization,resources.assets,2026-09-22,,Building_PurgedHumanHouse_Name,purified_human_house
Purified Lizard House,Gereinigtes Echsenhaus,building,,localization,resources.assets,2026-09-22,,Building_PurifiedLizardHouse_Name,purified_lizard_house
Rain Collector,Regenkollektor,building,,localization,resources.assets,2026-09-22,,Building_RainCollector_Name,rain_collector
Rain Mill,Regenmühle,building,,localization,resources.assets,2026-09-22,,Building_RainMill_Name,rain_mill
Rainpunk Barrels,Regenpunk-Fässer,building,,localization,resources.assets,2026-09-22,,Building_DecorationRainpunkBarrels_Name,rainpunk_barrels
Rainpunk Foundry,Regenpunk-Gießerei,building,,localization,resources.assets,2026-09-22,,Building_RainpunkFactory_Name,rainpunk_foundry
Ranch,Ranch,building,,localization,resources.assets,2026-09-22,,Building_Ranch_Name,ranch
Reinforced Road,Verstärkte Straße,building,,localization,resources.assets,2026-09-22,,Building_CopperRoad_Name,reinforced_road
Road Sign,Straßenschild,building,,localization,resources.assets,2026-09-22,,Building_DecorationRoadSign_Name,road_sign
Ruins of Noria,Ruinen von Noria,building,,localization,resources.assets,2026-09-22,,Building_RuinsOfNoria_Name,ruins_of_noria
Sacrifice Algae,Algen opfern,building,,localization,resources.assets,2026-09-22,,Building_Hearth_AlgaeEffect_Name,sacrifice_algae
Sacrifice Coal,Kohle opfern,building,,localization,resources.assets,2026-09-22,,Building_Hearth_CoalEffect_Name,sacrifice_coal
Sacrifice Oil,Öl opfern,building,,localization,resources.assets,2026-09-22,,Building_Hearth_OilEffect_Name,sacrifice_oil
Sacrifice Sea Marrow,Seemark opfern,building,,localization,resources.assets,2026-09-22,,Building_Hearth_SeaMarrow_Name,sacrifice_sea_marrow
Sacrifice Wood,Holz opfern,building,,localization,resources.assets,2026-09-22,,Building_Hearth_WoodEffect_Name,sacrifice_wood
Saltwater Pitcher Plant,Salzwasserpflanze,building,,localization,resources.assets,2026-09-22,,Building_Decoration_CoastalGrovePlant_Name,saltwater_pitcher_plant
Scavengers' Camp,Sammlerlager,building,,localization,resources.assets,2026-09-22,,Building_ScavengerCamp_Name,scavengers_camp
Scribe,Schreibhaus,building,,localization,resources.assets,2026-09-22,,Building_Scribe_Name,scribe
Shelter,Unterkunft,building,,localization,resources.assets,2026-09-22,,Building_Shelter_Name,shelter
Signboard,Hinweisschild,building,,localization,resources.assets,2026-09-22,,Building_DecorationSignboard_Name,signboard
Small Farm,Kleinfarm,building,,localization,resources.assets,2026-09-22,,Building_SmallFarm_Name,small_farm
Small Fishing Hut,Kleine Fischerhütte,building,,localization,resources.assets,2026-09-22,,Building_PrimitiveFishingHut_Name,small_fishing_hut
Small Foragers' Camp,Kleines Nahrungssammlerlager,building,,localization,resources.assets,2026-09-22,,Building_PrimitiveForagersCamp_Name,small_foragers_camp
Small Hauler Station,Kleine Frachtführer-Station,building,,localization,resources.assets,2026-09-22,,Building_SmallHaulersBase_Name,small_hauler_station
Small Hearth,Kleine Feuerstelle,building,,localization,resources.assets,2026-09-22,,Building_TemporaryHearth_Name,small_hearth
Small Herbalists' Camp,Kleines Kräutersammlerlager,building,,localization,resources.assets,2026-09-22,,Building_PrimitiveHerbalistCamp_Name,small_herbalists_camp
Small Trappers' Camp,Kleines Trapperlager,building,,localization,resources.assets,2026-09-22,,Building_PrimitiveTrappersCamp_Name,small_trappers_camp
Small Warehouse,Kleines Lagerhaus,building,,localization,resources.assets,2026-09-22,,Building_Storage_Name,small_warehouse
Smelter,Schmelzerei,building,,localization,resources.assets,2026-09-22,,Building_Smelter_Name,smelter
Smithy,Schmiede,building,,localization,resources.assets,2026-09-22,,Building_Smithy_Name,smithy
Smokehouse,Räucherei,building,,localization,resources.assets,2026-09-22,,Building_Smokehouse_Name,smokehouse
Stamping Mill,Pochwerk,building,,localization,resources.assets,2026-09-22,,Building_StampingMill_Name,stamping_mill
Stone Fence,Steinzaun,building,,localization,resources.assets,2026-09-22,,Building_Decoration_FrogFence_Name,stone_fence
Stone Fence Corner,Steinzauneck,building,,localization,resources.assets,2026-09-22,,Building_Decoration_FrogFenceCorner_Name,stone_fence_corner
Stonecutters' Camp,Steinmetzlager,building,,localization,resources.assets,2026-09-22,,Building_StonecuttersCamp_Name,stonecutters_camp
Strider Port,Läuferhafen,building,,localization,resources.assets,2026-09-22,,Building_Port_Name,strider_port
Supplier,Anbieter,building,,localization,resources.assets,2026-09-22,,Building_Supplier_Name,supplier
Syndicate Chest,Syndikatstruhe,building,,localization,resources.assets,2026-09-22,,Building_DecorationSyndicateChest_Name,syndicate_chest
Tavern,Schänke,building,,localization,resources.assets,2026-09-22,,Building_Tavern_Name,tavern
Tea Doctor,Teedoktor,building,,localization,resources.assets,2026-09-22,,Building_TeaDoctor_Name,tea_doctor
Teahouse,Teehaus,building,,localization,resources.assets,2026-09-22,,Building_TeaHouse_Name,teahouse
Tearsap Bamboo Sapling,Tränensaft-Bambus-Schössling,building,,localization,resources.assets,2026-09-22,,Building_DecorationBamboo_Name,tearsap_bamboo_sapling
Temple,Tempel,building,,localization,resources.assets,2026-09-22,,Building_Temple_Name,temple
Thorny Reed,Dornenschilf,building,,localization,resources.assets,2026-09-22,,Building_DecorationScarlet_Name,thorny_reed
Tinctury,Destillerie,building,,localization,resources.assets,2026-09-22,,Building_Tinctury_Name,tinctury
Tinkerer,Tüftler,building,,localization,resources.assets,2026-09-22,,Building_Tinkerer_Name,tinkerer
Toolshop,Werkzeugladen,building,,localization,resources.assets,2026-09-22,,Building_Toolshop_Name,toolshop
Town Board,Anschlagbrett,building,,localization,resources.assets,2026-09-22,,Building_Decoration_Board_Name,town_board
Trading Post,Handelsposten,building,,localization,resources.assets,2026-09-22,,Building_TradingPost_Name,trading_post
Trappers' Camp,Trapperlager,building,,localization,resources.assets,2026-09-22,,Building_TrappersCamp_Name,trappers_camp
Umbrella,Schirm,building,,localization,resources.assets,2026-09-22,,Building_DecorationUmbrella_Name,umbrella
Valve,Ventil,building,,localization,resources.assets,2026-09-22,,Building_DecorationPipeWithValve_Name,valve
Wall,Mauer,building,,localization,resources.assets,2026-09-22,,Building_Decoration_Wall_Name,wall
Wall Corner,Wandecke,building,,localization,resources.assets,2026-09-22,,Building_DecorationWallCorner_Name,wall_corner
